Date,Open,High,Low,Close,Adj Close,Volume
2019-07-16,199.559998,199.630005,197.089996,197.880005,193.055679,1016800
2019-07-17,198.559998,199.800003,197.770004,199.380005,194.519119,879200
2019-07-18,199.889999,203.160004,199.229996,202.600006,197.660599,823500
2019-07-19,202.449997,204.000000,200.940002,201.570007,196.655731,1029200
2019-07-22,202.169998,203.559998,198.889999,201.169998,196.265457,1073100
2019-07-23,201.149994,203.190002,200.740005,202.289993,197.358170,683600
2019-07-24,201.929993,204.380005,201.320007,204.089996,199.114273,667400
2019-07-25,204.039993,204.649994,201.139999,203.009995,198.060608,638900
2019-07-26,203.750000,205.589996,202.660004,203.919998,198.948425,739700
2019-07-29,204.130005,204.220001,197.270004,199.000000,194.148376,1146800
2019-07-30,197.339996,201.559998,196.419998,200.949997,196.050827,875200
2019-07-31,200.080002,200.520004,194.570007,196.820007,192.021515,884100
2019-08-01,196.669998,198.320007,191.649994,193.600006,188.880035,1366300
2019-08-02,194.309998,195.190002,192.479996,192.740005,188.041000,818800
2019-08-05,190.509995,191.360001,185.869995,186.690002,182.138489,1672300
2019-08-06,189.190002,189.690002,185.509995,187.190002,182.626297,1148300
2019-08-07,185.369995,188.779999,184.300003,188.160004,183.572662,801600
2019-08-08,189.000000,193.369995,187.020004,193.259995,188.548309,850200
2019-08-09,193.300003,196.550003,191.869995,194.149994,189.416611,1091800
2019-08-12,192.820007,194.360001,192.119995,193.050003,189.073822,695000
2019-08-13,192.039993,197.789993,192.000000,196.529999,192.482132,936900
2019-08-14,193.889999,196.250000,192.500000,193.360001,189.377457,1357700
2019-08-15,191.000000,194.970001,189.509995,194.399994,190.396027,1004800
2019-08-16,195.490005,199.889999,195.490005,198.789993,194.695602,962700
2019-08-19,200.000000,202.830002,198.940002,201.800003,197.643600,1044200
2019-08-20,201.550003,203.740005,201.500000,202.479996,198.309601,1143600
2019-08-21,203.809998,205.289993,202.839996,202.850006,198.671982,682800
2019-08-22,202.880005,203.789993,201.149994,201.660004,197.506500,906500
2019-08-23,200.699997,201.520004,197.660004,198.509995,194.421356,1018400
2019-08-26,200.000000,203.029999,197.520004,202.440002,198.270432,1147700
2019-08-27,201.910004,202.949997,197.860001,198.190002,194.107971,987500
2019-08-28,197.460007,202.330002,196.630005,201.830002,197.672989,844200
2019-08-29,202.820007,205.300003,202.690002,204.630005,200.415314,761800
2019-08-30,204.720001,205.289993,203.429993,204.350006,200.141098,983400
2019-09-03,203.360001,208.470001,202.250000,208.350006,204.058701,899700
2019-09-04,209.500000,211.979996,208.460007,210.179993,205.850998,883800
2019-09-05,212.000000,212.000000,204.580002,204.929993,200.709122,1025900
2019-09-06,204.710007,205.619995,203.630005,204.750000,200.532852,955300
2019-09-09,204.979996,207.539993,204.600006,206.750000,202.491669,1012100
2019-09-10,206.220001,208.699997,204.350006,208.179993,203.892181,920300
2019-09-11,208.179993,208.880005,205.320007,206.770004,202.511230,979700
2019-09-12,206.000000,207.059998,202.339996,203.970001,199.768921,1124900
2019-09-13,204.839996,205.880005,203.539993,204.070007,199.866852,595100
2019-09-16,203.669998,204.750000,202.279999,203.839996,199.641571,709300
2019-09-17,204.800003,208.000000,203.199997,205.750000,201.512268,1355900
2019-09-18,206.119995,207.520004,203.979996,207.330002,203.059723,979700
2019-09-19,207.240005,207.850006,205.750000,207.339996,203.069504,758000
2019-09-20,207.899994,209.289993,204.589996,205.100006,200.875656,1554800
2019-09-23,205.100006,206.360001,204.660004,205.770004,201.531845,853800
2019-09-24,206.720001,206.779999,203.699997,205.039993,200.816864,766100
2019-09-25,206.440002,207.449997,203.649994,204.000000,199.798294,1597200
2019-09-26,204.419998,207.630005,204.330002,206.070007,201.825653,925600
2019-09-27,207.330002,207.979996,205.089996,206.000000,201.757111,848000
2019-09-30,206.740005,208.470001,206.000000,207.279999,203.010727,992300
2019-10-01,207.600006,210.649994,207.589996,209.410004,205.096863,1169200
2019-10-02,208.139999,208.139999,204.309998,206.789993,202.530807,1406700
2019-10-03,201.029999,202.240005,191.020004,194.259995,190.258881,4711800
2019-10-04,196.020004,198.669998,190.889999,193.740005,189.749619,2105800
2019-10-07,193.389999,193.729996,188.100006,188.740005,184.852600,1721100
2019-10-08,187.839996,190.279999,186.410004,189.520004,185.616531,1334500
2019-10-09,189.779999,192.220001,189.080002,191.460007,187.516602,1091400
2019-10-10,191.440002,194.080002,190.410004,192.710007,188.740829,957000
2019-10-11,193.610001,198.500000,192.610001,193.080002,189.103210,963800
2019-10-14,192.429993,193.279999,191.039993,192.970001,188.995468,759500
2019-10-15,192.940002,197.610001,192.580002,196.759995,192.707413,1102700
2019-10-16,197.270004,198.649994,195.869995,198.479996,194.391983,854500
2019-10-17,198.699997,199.300003,196.529999,197.289993,193.226471,978200
2019-10-18,197.130005,198.600006,196.000000,197.020004,192.962067,843400
2019-10-21,196.759995,196.889999,194.339996,194.580002,190.572327,758500
2019-10-22,194.639999,197.160004,193.860001,196.809998,192.756378,627900
2019-10-23,196.000000,198.000000,195.169998,197.539993,193.471329,601200
2019-10-24,197.699997,197.699997,195.479996,196.690002,192.638855,665700
2019-10-25,195.830002,197.380005,194.440002,195.839996,191.806366,765100
2019-10-28,195.410004,196.460007,192.850006,192.919998,188.946503,933300
2019-10-29,192.979996,194.929993,192.199997,192.979996,189.005264,695600
2019-10-30,192.720001,192.970001,190.820007,191.539993,187.594925,928700
2019-10-31,191.320007,191.809998,189.000000,190.330002,186.409851,1002300
2019-11-01,191.259995,193.479996,190.559998,191.000000,187.066055,1116600
2019-11-04,191.559998,194.089996,191.009995,193.919998,189.925919,835600
2019-11-05,194.220001,195.500000,191.660004,191.720001,187.771210,788500
2019-11-06,192.000000,193.649994,190.830002,193.210007,189.230545,712900
2019-11-07,193.270004,193.970001,190.139999,190.279999,187.087128,741200
2019-11-08,190.399994,190.600006,186.500000,187.559998,184.412750,1435900
2019-11-11,187.000000,187.169998,184.020004,184.520004,181.423752,1484900
2019-11-12,184.880005,184.910004,182.169998,183.830002,180.745346,1501100
2019-11-13,184.000000,185.919998,183.020004,184.009995,180.922318,794900
2019-11-14,183.000000,185.130005,181.880005,182.860001,179.791626,1273500
2019-11-15,182.940002,183.399994,179.449997,179.649994,176.635483,1852600
2019-11-18,179.860001,179.860001,174.130005,174.889999,171.955353,2433300
2019-11-19,174.919998,181.050003,174.750000,180.960007,177.923508,1670100
2019-11-20,182.020004,186.039993,181.839996,185.860001,182.741287,2139700
2019-11-21,186.100006,187.429993,185.220001,186.630005,183.498352,1112700
2019-11-22,186.429993,186.559998,180.979996,181.220001,178.179138,2098500
2019-11-25,182.339996,183.720001,181.649994,183.570007,180.489700,987000
2019-11-26,182.619995,185.119995,181.500000,184.059998,180.971481,1028100
2019-11-27,184.750000,186.470001,183.960007,185.750000,182.633118,676000
2019-11-29,185.539993,186.309998,184.720001,186.059998,182.937927,369400
2019-12-02,185.979996,186.300003,184.779999,186.080002,182.957596,798600
2019-12-03,184.759995,184.869995,181.740005,184.490005,181.394272,996000
2019-12-04,184.649994,184.869995,181.240005,184.289993,181.197601,991900
2019-12-05,184.000000,185.160004,180.949997,182.460007,179.398331,1339200
2019-12-06,183.520004,184.850006,182.889999,183.649994,180.568359,722200
2019-12-09,182.860001,183.500000,179.520004,181.270004,178.228302,1303300
2019-12-10,181.000000,181.479996,179.020004,180.929993,177.893997,819600
2019-12-11,180.929993,181.970001,179.009995,181.619995,178.572449,926000
2019-12-12,181.050003,183.419998,179.669998,179.789993,176.773132,884600
2019-12-13,181.529999,182.830002,179.869995,182.059998,179.005035,945400
2019-12-16,181.789993,184.229996,180.119995,182.889999,179.821106,1311100
2019-12-17,182.899994,184.600006,182.529999,183.119995,180.047241,920100
2019-12-18,183.619995,184.449997,182.320007,183.679993,180.597855,860400
2019-12-19,184.250000,186.350006,184.000000,185.820007,182.701965,1046800
2019-12-20,186.940002,189.070007,186.229996,188.899994,185.730270,2342600
2019-12-23,189.029999,189.199997,187.009995,188.039993,184.884689,804400
2019-12-24,188.729996,188.820007,186.419998,186.830002,183.695023,400200
2019-12-26,187.259995,189.929993,186.729996,189.660004,186.477524,807700
2019-12-27,189.929993,190.570007,188.869995,189.229996,186.054733,568600
2019-12-30,189.149994,189.369995,187.800003,188.369995,185.209152,901000
2019-12-31,188.000000,189.789993,187.100006,189.750000,186.566010,896900
2020-01-02,189.970001,190.000000,186.660004,188.300003,185.140335,1060500
2020-01-03,187.360001,189.910004,186.279999,189.529999,186.349701,1311500
2020-01-06,188.979996,191.740005,187.520004,190.399994,187.205093,1615100
2020-01-07,189.179993,189.940002,183.309998,183.600006,180.519211,2301500
2020-01-08,188.750000,193.750000,182.169998,190.289993,187.096939,4577800
2020-01-09,191.899994,195.960007,190.610001,193.589996,190.341568,2475500
2020-01-10,192.089996,192.639999,187.600006,188.380005,185.219009,1881300
2020-01-13,188.110001,190.000000,187.449997,188.440002,185.277985,1401500
2020-01-14,189.270004,191.589996,188.970001,190.830002,187.627884,1292100
2020-01-15,189.990005,192.619995,189.690002,190.850006,187.647552,842600
2020-01-16,191.539993,192.250000,190.330002,190.860001,187.657379,856000
2020-01-17,191.119995,193.380005,189.669998,189.949997,186.762634,1787900
2020-01-21,187.449997,191.389999,187.199997,190.229996,187.037949,2038100
2020-01-22,192.660004,194.440002,191.380005,191.940002,188.719254,1695500
2020-01-23,191.320007,194.130005,190.910004,193.970001,190.715210,1089800
2020-01-24,193.979996,194.679993,190.460007,191.559998,188.345627,853100
2020-01-27,190.000000,191.919998,189.050003,190.899994,187.696686,1028100
2020-01-28,191.449997,194.970001,190.679993,192.750000,189.515686,985400
2020-01-29,192.789993,193.789993,190.830002,192.580002,189.348526,624300
2020-01-30,192.139999,192.300003,189.860001,190.789993,187.588547,723200
2020-01-31,189.899994,191.429993,187.710007,188.300003,185.140335,1003700
2020-02-03,188.960007,189.899994,188.000000,189.119995,185.946579,826500
2020-02-04,191.600006,194.960007,191.479996,192.889999,189.653305,1205800
2020-02-05,193.820007,197.660004,193.820007,197.139999,193.832001,1338300
2020-02-06,198.000000,200.389999,197.630005,199.800003,196.447372,1171600
2020-02-07,198.639999,200.809998,197.580002,200.339996,196.978302,1223800
2020-02-10,199.429993,201.460007,198.630005,200.070007,197.452042,918400
2020-02-11,200.009995,201.210007,198.100006,199.940002,197.323730,994500
2020-02-12,199.669998,200.440002,197.869995,198.720001,196.119690,713400
2020-02-13,198.919998,202.600006,198.000000,201.190002,198.557373,819500
2020-02-14,202.699997,206.440002,202.220001,203.830002,201.162827,1373700
2020-02-18,203.139999,205.320007,200.720001,203.820007,201.152969,903700
2020-02-19,204.210007,207.500000,203.979996,206.639999,203.936050,805700
2020-02-20,206.639999,208.550003,205.240005,208.339996,205.613815,821700
2020-02-21,207.899994,208.240005,205.970001,207.399994,204.686111,798900
2020-02-24,202.399994,204.350006,200.389999,201.539993,198.902786,1145900
2020-02-25,202.000000,202.429993,193.699997,195.289993,192.734558,1369600
2020-02-26,196.440002,197.660004,190.779999,190.970001,188.471100,1125400
2020-02-27,188.089996,188.410004,175.550003,175.660004,173.361450,2282200
2020-02-28,170.270004,172.389999,163.529999,172.380005,170.124359,3371200
2020-03-02,173.250000,177.220001,169.270004,177.220001,174.901031,2010400
2020-03-03,178.279999,183.449997,174.919998,177.589996,175.266174,1956900
2020-03-04,179.470001,186.800003,178.000000,185.960007,183.526657,1444800
2020-03-05,181.690002,186.190002,179.449997,182.770004,180.378418,1602000
2020-03-06,176.690002,181.309998,175.250000,179.070007,176.726822,1667400
2020-03-09,168.000000,172.089996,161.460007,164.240005,162.090897,1775400
2020-03-10,168.410004,169.919998,160.509995,165.320007,163.156754,2004200
2020-03-11,161.160004,162.809998,153.850006,155.070007,153.040878,1912500
2020-03-12,144.100006,144.699997,129.850006,131.429993,129.710190,3220900
2020-03-13,141.240005,143.240005,122.370003,132.979996,131.239914,3842200
2020-03-16,118.230003,127.400002,107.000000,124.750000,123.117607,3623300
2020-03-17,125.580002,127.110001,110.040001,124.449997,122.821533,3369600
2020-03-18,116.430000,124.309998,107.160004,121.250000,119.663414,3366600
2020-03-19,120.000000,125.529999,114.669998,123.059998,121.449730,2497200
2020-03-20,126.599998,129.979996,116.389999,119.699997,118.133690,3165500
2020-03-23,117.250000,119.699997,104.279999,105.639999,104.257668,5876300
2020-03-24,111.139999,125.000000,107.690002,123.820000,122.199776,3815000
2020-03-25,124.750000,133.729996,123.730003,126.610001,124.953278,3302500
2020-03-26,128.389999,142.509995,127.800003,140.690002,138.849045,2699600
2020-03-27,135.000000,148.800003,135.000000,144.880005,142.984207,3154000
2020-03-30,144.199997,147.889999,140.000000,146.440002,144.523804,1793600
2020-03-31,144.600006,149.479996,142.000000,143.360001,141.484100,1790500
2020-04-01,138.580002,142.660004,135.520004,136.880005,135.088898,1643200
2020-04-02,127.000000,132.929993,117.720001,131.220001,129.502945,5828600
2020-04-03,135.009995,135.009995,125.610001,132.169998,130.440521,3291100
